Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-5212709;HUB-BR-2919553;PORT-BR-2927408;;;BUNGE;SOYBEAN;204.27546178827578
PRODUCTION-BR-5214903;HUB-BR-2919553;PORT-BR-2927408;;;BUNGE;SOYBEAN;583.6441765379309
PRODUCTION-BR-5218300;HUB-BR-2919553;PORT-BR-2927408;;;BUNGE;SOYBEAN;6463.417100478388
PRODUCTION-BR-5219803;HUB-BR-2919553;PORT-BR-2927408;;;BUNGE;SOYBEAN;30909.265003833785
PRODUCTION-BR-5220702;HUB-BR-2919553;PORT-BR-2927408;;;BUNGE;SOYBEAN;22140.453406030567
PRODUCTION-BR-2911105;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;64209.82900473715
PRODUCTION-BR-2919553;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;26255.641336850415
PRODUCTION-BR-3126208;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;11769.578539804674
PRODUCTION-BR-5208301;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;30.264630530926304
PRODUCTION-BR-5209903;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;719.6256592909135
PRODUCTION-BR-5212709;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;19.917748298131006
PRODUCTION-BR-5214903;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;56.907852280374215
PRODUCTION-BR-5218300;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;630.2113519958413
PRODUCTION-BR-5219803;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;3013.788122357453
PRODUCTION-BR-5220702;HUB-BR-2919553;PORT-BR-3205309;;;BUNGE;SOYBEAN;2158.7907538541367
HUB-BR-2919553;PORT-BR-3205309;;;;No Match;SOYBEAN;0.005000000004656613
PRODUCTION-BR-2928901;HUB-BR-2928901;PORT-BR-2927408;;;BUNGE;SOYBEAN;10000.0
PRODUCTION-BR-3170206;HUB-BR-3170206;PORT-BR-3205309;;;CARGILL;SOYBEAN;252000.0
PRODUCTION-BR-5217708;HUB-BR-3170206;PORT-BR-3205309;;;CARGILL;SOYBEAN;42713.502
PRODUCTION-BR-3526001;HUB-BR-3526001;PORT-BR-3548500;;;GLENCANE BIOENERGIA S.A.;SOYBEAN;103287.2
PRODUCTION-BR-3555109;HUB-BR-3526001;PORT-BR-3548500;;;GLENCANE BIOENERGIA S.A.;SOYBEAN;22672.8
PRODUCTION-BR-3528403;HUB-BR-3528403;PORT-BR-2927408;;;CARGILL;SOYBEAN;12960.0
PRODUCTION-BR-3537800;HUB-BR-3528403;PORT-BR-2927408;;;CARGILL;SOYBEAN;5040.000000000001
HUB-BR-3528403;PORT-BR-3548500;;;;CARGILL;SOYBEAN;30.0
PRODUCTION-BR-4126504;HUB-BR-3548500;PORT-BR-3548500;;;CARAMURU;SOYBEAN;78600.0
PRODUCTION-BR-3529708;HUB-BR-3549409;PORT-BR-3548500;;;SODRUGESTVO;SOYBEAN;157174.358
PRODUCTION-BR-3129202;HUB-BR-3550308;PORT-BR-3548500;;;CARGILL;SOYBEAN;589015.9936466
PRODUCTION-BR-3169406;HUB-BR-3550308;PORT-BR-3548500;;;CARGILL;SOYBEAN;1676430.1357634
HUB-BR-3550308;PORT-BR-3548500;;;;COFCO;SOYBEAN;2030215.78541
HUB-BR-3550308;PORT-BR-3548500;;;;GRANOL;SOYBEAN;23465.3999
HUB-BR-3550308;PORT-BR-3548500;;;;KUEHNE+NAGEL SERVICOS LOGISTICOS LTDA.;SOYBEAN;123.24
HUB-BR-3550308;PORT-BR-3548500;;;;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOL;SOYBEAN;549795.4604
PRODUCTION-BR-4102000;HUB-BR-4102000;PORT-BR-4118204;;;C. VALE;SOYBEAN;10000.0
PRODUCTION-BR-4103602;HUB-BR-4103602;PORT-BR-4118204;;;INTEGRADA COOPERATIVA AGROINDUSTRIAL;SOYBEAN;2116.4839
PRODUCTION-BR-4104303;HUB-BR-4104303;PORT-BR-4118204;;;COAMO;SOYBEAN;769436.9987979
HUB-BR-4104303;PORT-BR-4118204;;;;COAMO;SOYBEAN;1199.267
PRODUCTION-BR-4104808;HUB-BR-4104808;PORT-BR-3548500;;;AMAGGI;SOYBEAN;49544.371624740736
PRODUCTION-BR-4113452;HUB-BR-4104808;PORT-BR-3548500;;;AMAGGI;SOYBEAN;23216.392398067655
PRODUCTION-BR-4123824;HUB-BR-4104808;PORT-BR-3548500;;;AMAGGI;SOYBEAN;14559.43252082209
PRODUCTION-BR-4124020;HUB-BR-4104808;PORT-BR-3548500;;;AMAGGI;SOYBEAN;63982.80345636951
PRODUCTION-BR-4104808;HUB-BR-4104808;PORT-BR-4118204;;;AMAGGI;SOYBEAN;818.628375259262
PRODUCTION-BR-4113452;HUB-BR-4104808;PORT-BR-4118204;;;AMAGGI;SOYBEAN;383.60760193234347
PRODUCTION-BR-4123824;HUB-BR-4104808;PORT-BR-4118204;;;AMAGGI;SOYBEAN;240.56747917790858
PRODUCTION-BR-4124020;HUB-BR-4104808;PORT-BR-4118204;;;AMAGGI;SOYBEAN;1057.196543630486
PRODUCTION-BR-4116059;HUB-BR-4105300;PORT-BR-4118204;;;LAR;SOYBEAN;800.0
PRODUCTION-BR-4104253;HUB-BR-4106902;PORT-BR-4118204;;;ENGELHART;SOYBEAN;29493.09813741004
